,Estacao,Data,Precipitacao,Date,year,month,day,long,lat
3070,ARCOVERDE,15/03/2004,0.0,2004-03-15,2004,3,15,-37.08,-8.41
3072,ARCOVERDE,16/03/2004,0.0,2004-03-16,2004,3,16,-37.08,-8.41
3074,ARCOVERDE,17/03/2004,0.0,2004-03-17,2004,3,17,-37.08,-8.41
3076,ARCOVERDE,18/03/2004,0.0,2004-03-18,2004,3,18,-37.08,-8.41
3078,ARCOVERDE,19/03/2004,0.0,2004-03-19,2004,3,19,-37.08,-8.41
3080,ARCOVERDE,20/03/2004,0.0,2004-03-20,2004,3,20,-37.08,-8.41
3082,ARCOVERDE,21/03/2004,0.0,2004-03-21,2004,3,21,-37.08,-8.41
3084,ARCOVERDE,22/03/2004,0.0,2004-03-22,2004,3,22,-37.08,-8.41
3086,ARCOVERDE,23/03/2004,0.0,2004-03-23,2004,3,23,-37.08,-8.41
3088,ARCOVERDE,24/03/2004,0.0,2004-03-24,2004,3,24,-37.08,-8.41
3090,ARCOVERDE,25/03/2004,0.0,2004-03-25,2004,3,25,-37.08,-8.41
3092,ARCOVERDE,26/03/2004,0.0,2004-03-26,2004,3,26,-37.08,-8.41
3094,ARCOVERDE,27/03/2004,0.0,2004-03-27,2004,3,27,-37.08,-8.41
3096,ARCOVERDE,28/03/2004,0.0,2004-03-28,2004,3,28,-37.08,-8.41
3098,ARCOVERDE,29/03/2004,0.0,2004-03-29,2004,3,29,-37.08,-8.41
3100,ARCOVERDE,30/03/2004,0.0,2004-03-30,2004,3,30,-37.08,-8.41
3102,ARCOVERDE,31/03/2004,0.0,2004-03-31,2004,3,31,-37.08,-8.41
3104,ARCOVERDE,01/04/2004,0.0,2004-04-01,2004,4,1,-37.08,-8.41
3106,ARCOVERDE,02/04/2004,0.0,2004-04-02,2004,4,2,-37.08,-8.41
3108,ARCOVERDE,03/04/2004,0.0,2004-04-03,2004,4,3,-37.08,-8.41
3110,ARCOVERDE,04/04/2004,0.0,2004-04-04,2004,4,4,-37.08,-8.41
3112,ARCOVERDE,05/04/2004,0.0,2004-04-05,2004,4,5,-37.08,-8.41
3114,ARCOVERDE,06/04/2004,0.0,2004-04-06,2004,4,6,-37.08,-8.41
3116,ARCOVERDE,07/04/2004,0.1,2004-04-07,2004,4,7,-37.08,-8.41
3118,ARCOVERDE,08/04/2004,0.0,2004-04-08,2004,4,8,-37.08,-8.41
3120,ARCOVERDE,09/04/2004,0.0,2004-04-09,2004,4,9,-37.08,-8.41
3122,ARCOVERDE,10/04/2004,0.0,2004-04-10,2004,4,10,-37.08,-8.41
3124,ARCOVERDE,11/04/2004,0.0,2004-04-11,2004,4,11,-37.08,-8.41
3126,ARCOVERDE,12/04/2004,0.0,2004-04-12,2004,4,12,-37.08,-8.41
3128,ARCOVERDE,13/04/2004,0.0,2004-04-13,2004,4,13,-37.08,-8.41
3130,ARCOVERDE,14/04/2004,7.6,2004-04-14,2004,4,14,-37.08,-8.41
3132,ARCOVERDE,15/04/2004,0.0,2004-04-15,2004,4,15,-37.08,-8.41
3134,ARCOVERDE,16/04/2004,0.0,2004-04-16,2004,4,16,-37.08,-8.41
3136,ARCOVERDE,17/04/2004,0.0,2004-04-17,2004,4,17,-37.08,-8.41
3138,ARCOVERDE,18/04/2004,0.5,2004-04-18,2004,4,18,-37.08,-8.41
3140,ARCOVERDE,19/04/2004,0.0,2004-04-19,2004,4,19,-37.08,-8.41
3142,ARCOVERDE,20/04/2004,0.0,2004-04-20,2004,4,20,-37.08,-8.41
3144,ARCOVERDE,21/04/2004,0.0,2004-04-21,2004,4,21,-37.08,-8.41
3146,ARCOVERDE,22/04/2004,0.0,2004-04-22,2004,4,22,-37.08,-8.41
3148,ARCOVERDE,23/04/2004,0.0,2004-04-23,2004,4,23,-37.08,-8.41
3150,ARCOVERDE,24/04/2004,10.4,2004-04-24,2004,4,24,-37.08,-8.41
3152,ARCOVERDE,25/04/2004,0.0,2004-04-25,2004,4,25,-37.08,-8.41
3154,ARCOVERDE,26/04/2004,0.0,2004-04-26,2004,4,26,-37.08,-8.41
3156,ARCOVERDE,27/04/2004,0.6,2004-04-27,2004,4,27,-37.08,-8.41
3158,ARCOVERDE,28/04/2004,0.0,2004-04-28,2004,4,28,-37.08,-8.41
3160,ARCOVERDE,29/04/2004,0.0,2004-04-29,2004,4,29,-37.08,-8.41
3162,ARCOVERDE,30/04/2004,0.0,2004-04-30,2004,4,30,-37.08,-8.41
3164,ARCOVERDE,01/05/2004,0.0,2004-05-01,2004,5,1,-37.08,-8.41
3166,ARCOVERDE,02/05/2004,0.0,2004-05-02,2004,5,2,-37.08,-8.41
3168,ARCOVERDE,03/05/2004,0.0,2004-05-03,2004,5,3,-37.08,-8.41
3170,ARCOVERDE,04/05/2004,0.0,2004-05-04,2004,5,4,-37.08,-8.41
3172,ARCOVERDE,05/05/2004,0.0,2004-05-05,2004,5,5,-37.08,-8.41
3174,ARCOVERDE,06/05/2004,0.0,2004-05-06,2004,5,6,-37.08,-8.41
3176,ARCOVERDE,07/05/2004,0.0,2004-05-07,2004,5,7,-37.08,-8.41
3178,ARCOVERDE,08/05/2004,0.0,2004-05-08,2004,5,8,-37.08,-8.41
3180,ARCOVERDE,09/05/2004,0.0,2004-05-09,2004,5,9,-37.08,-8.41
3182,ARCOVERDE,10/05/2004,2.7,2004-05-10,2004,5,10,-37.08,-8.41
3184,ARCOVERDE,11/05/2004,0.0,2004-05-11,2004,5,11,-37.08,-8.41
3186,ARCOVERDE,12/05/2004,0.0,2004-05-12,2004,5,12,-37.08,-8.41
3188,ARCOVERDE,13/05/2004,0.1,2004-05-13,2004,5,13,-37.08,-8.41
3190,ARCOVERDE,14/05/2004,0.0,2004-05-14,2004,5,14,-37.08,-8.41
3192,ARCOVERDE,15/05/2004,0.0,2004-05-15,2004,5,15,-37.08,-8.41
3194,ARCOVERDE,16/05/2004,0.0,2004-05-16,2004,5,16,-37.08,-8.41
3196,ARCOVERDE,17/05/2004,,2004-05-17,2004,5,17,-37.08,-8.41
3198,ARCOVERDE,18/05/2004,0.0,2004-05-18,2004,5,18,-37.08,-8.41
3200,ARCOVERDE,19/05/2004,0.0,2004-05-19,2004,5,19,-37.08,-8.41
3202,ARCOVERDE,20/05/2004,6.6,2004-05-20,2004,5,20,-37.08,-8.41
3204,ARCOVERDE,21/05/2004,2.6,2004-05-21,2004,5,21,-37.08,-8.41
3206,ARCOVERDE,22/05/2004,5.0,2004-05-22,2004,5,22,-37.08,-8.41
3208,ARCOVERDE,23/05/2004,3.9,2004-05-23,2004,5,23,-37.08,-8.41
3210,ARCOVERDE,24/05/2004,0.0,2004-05-24,2004,5,24,-37.08,-8.41
3212,ARCOVERDE,25/05/2004,21.2,2004-05-25,2004,5,25,-37.08,-8.41
3214,ARCOVERDE,26/05/2004,0.0,2004-05-26,2004,5,26,-37.08,-8.41
3216,ARCOVERDE,27/05/2004,0.0,2004-05-27,2004,5,27,-37.08,-8.41
3218,ARCOVERDE,28/05/2004,0.0,2004-05-28,2004,5,28,-37.08,-8.41
3220,ARCOVERDE,29/05/2004,0.0,2004-05-29,2004,5,29,-37.08,-8.41
3222,ARCOVERDE,30/05/2004,1.8,2004-05-30,2004,5,30,-37.08,-8.41
3224,ARCOVERDE,31/05/2004,0.0,2004-05-31,2004,5,31,-37.08,-8.41
3226,ARCOVERDE,01/06/2004,3.1,2004-06-01,2004,6,1,-37.08,-8.41
3228,ARCOVERDE,02/06/2004,5.7,2004-06-02,2004,6,2,-37.08,-8.41
3230,ARCOVERDE,03/06/2004,12.6,2004-06-03,2004,6,3,-37.08,-8.41
3232,ARCOVERDE,04/06/2004,7.8,2004-06-04,2004,6,4,-37.08,-8.41
3234,ARCOVERDE,05/06/2004,0.0,2004-06-05,2004,6,5,-37.08,-8.41
3236,ARCOVERDE,06/06/2004,13.8,2004-06-06,2004,6,6,-37.08,-8.41
3238,ARCOVERDE,07/06/2004,0.0,2004-06-07,2004,6,7,-37.08,-8.41
3240,ARCOVERDE,08/06/2004,0.0,2004-06-08,2004,6,8,-37.08,-8.41
3242,ARCOVERDE,09/06/2004,0.2,2004-06-09,2004,6,9,-37.08,-8.41
3244,ARCOVERDE,10/06/2004,2.4,2004-06-10,2004,6,10,-37.08,-8.41
3246,ARCOVERDE,11/06/2004,1.4,2004-06-11,2004,6,11,-37.08,-8.41
3248,ARCOVERDE,12/06/2004,7.6,2004-06-12,2004,6,12,-37.08,-8.41
3250,ARCOVERDE,13/06/2004,0.3,2004-06-13,2004,6,13,-37.08,-8.41
3252,ARCOVERDE,14/06/2004,0.7,2004-06-14,2004,6,14,-37.08,-8.41
3254,ARCOVERDE,15/06/2004,16.0,2004-06-15,2004,6,15,-37.08,-8.41
3256,ARCOVERDE,16/06/2004,19.8,2004-06-16,2004,6,16,-37.08,-8.41
3258,ARCOVERDE,17/06/2004,16.4,2004-06-17,2004,6,17,-37.08,-8.41
3260,ARCOVERDE,18/06/2004,12.4,2004-06-18,2004,6,18,-37.08,-8.41
3262,ARCOVERDE,19/06/2004,0.6,2004-06-19,2004,6,19,-37.08,-8.41
3264,ARCOVERDE,20/06/2004,6.9,2004-06-20,2004,6,20,-37.08,-8.41
3266,ARCOVERDE,21/06/2004,11.6,2004-06-21,2004,6,21,-37.08,-8.41
3268,ARCOVERDE,22/06/2004,0.0,2004-06-22,2004,6,22,-37.08,-8.41
3270,ARCOVERDE,23/06/2004,0.0,2004-06-23,2004,6,23,-37.08,-8.41
3272,ARCOVERDE,24/06/2004,0.1,2004-06-24,2004,6,24,-37.08,-8.41
3274,ARCOVERDE,25/06/2004,0.0,2004-06-25,2004,6,25,-37.08,-8.41
3276,ARCOVERDE,26/06/2004,6.5,2004-06-26,2004,6,26,-37.08,-8.41
3278,ARCOVERDE,27/06/2004,4.7,2004-06-27,2004,6,27,-37.08,-8.41
3280,ARCOVERDE,28/06/2004,0.0,2004-06-28,2004,6,28,-37.08,-8.41
3282,ARCOVERDE,29/06/2004,0.0,2004-06-29,2004,6,29,-37.08,-8.41
3284,ARCOVERDE,30/06/2004,1.2,2004-06-30,2004,6,30,-37.08,-8.41
3286,ARCOVERDE,01/07/2004,2.0,2004-07-01,2004,7,1,-37.08,-8.41
3288,ARCOVERDE,02/07/2004,0.0,2004-07-02,2004,7,2,-37.08,-8.41
3290,ARCOVERDE,03/07/2004,5.0,2004-07-03,2004,7,3,-37.08,-8.41
3292,ARCOVERDE,04/07/2004,3.9,2004-07-04,2004,7,4,-37.08,-8.41
3294,ARCOVERDE,05/07/2004,0.6,2004-07-05,2004,7,5,-37.08,-8.41
3296,ARCOVERDE,06/07/2004,0.0,2004-07-06,2004,7,6,-37.08,-8.41
3298,ARCOVERDE,07/07/2004,0.2,2004-07-07,2004,7,7,-37.08,-8.41
3300,ARCOVERDE,08/07/2004,0.0,2004-07-08,2004,7,8,-37.08,-8.41
3302,ARCOVERDE,09/07/2004,6.0,2004-07-09,2004,7,9,-37.08,-8.41
3304,ARCOVERDE,10/07/2004,0.0,2004-07-10,2004,7,10,-37.08,-8.41
3306,ARCOVERDE,11/07/2004,0.0,2004-07-11,2004,7,11,-37.08,-8.41
3308,ARCOVERDE,12/07/2004,0.0,2004-07-12,2004,7,12,-37.08,-8.41
3310,ARCOVERDE,13/07/2004,0.0,2004-07-13,2004,7,13,-37.08,-8.41
3312,ARCOVERDE,14/07/2004,0.9,2004-07-14,2004,7,14,-37.08,-8.41
3314,ARCOVERDE,15/07/2004,1.5,2004-07-15,2004,7,15,-37.08,-8.41
3316,ARCOVERDE,16/07/2004,9.4,2004-07-16,2004,7,16,-37.08,-8.41
3318,ARCOVERDE,17/07/2004,1.7,2004-07-17,2004,7,17,-37.08,-8.41
3320,ARCOVERDE,18/07/2004,0.5,2004-07-18,2004,7,18,-37.08,-8.41
3322,ARCOVERDE,19/07/2004,0.0,2004-07-19,2004,7,19,-37.08,-8.41
3324,ARCOVERDE,20/07/2004,0.0,2004-07-20,2004,7,20,-37.08,-8.41
3326,ARCOVERDE,21/07/2004,0.0,2004-07-21,2004,7,21,-37.08,-8.41
3328,ARCOVERDE,22/07/2004,0.9,2004-07-22,2004,7,22,-37.08,-8.41
3330,ARCOVERDE,23/07/2004,0.3,2004-07-23,2004,7,23,-37.08,-8.41
3332,ARCOVERDE,24/07/2004,1.6,2004-07-24,2004,7,24,-37.08,-8.41
3334,ARCOVERDE,25/07/2004,4.3,2004-07-25,2004,7,25,-37.08,-8.41
3336,ARCOVERDE,26/07/2004,1.6,2004-07-26,2004,7,26,-37.08,-8.41
3338,ARCOVERDE,27/07/2004,2.6,2004-07-27,2004,7,27,-37.08,-8.41
3340,ARCOVERDE,28/07/2004,0.2,2004-07-28,2004,7,28,-37.08,-8.41
3342,ARCOVERDE,29/07/2004,5.7,2004-07-29,2004,7,29,-37.08,-8.41
3344,ARCOVERDE,30/07/2004,19.0,2004-07-30,2004,7,30,-37.08,-8.41
3346,ARCOVERDE,31/07/2004,5.0,2004-07-31,2004,7,31,-37.08,-8.41
3348,ARCOVERDE,01/08/2004,5.5,2004-08-01,2004,8,1,-37.08,-8.41
3350,ARCOVERDE,02/08/2004,8.6,2004-08-02,2004,8,2,-37.08,-8.41
3352,ARCOVERDE,03/08/2004,0.2,2004-08-03,2004,8,3,-37.08,-8.41
3354,ARCOVERDE,04/08/2004,0.0,2004-08-04,2004,8,4,-37.08,-8.41
3356,ARCOVERDE,05/08/2004,0.5,2004-08-05,2004,8,5,-37.08,-8.41
3358,ARCOVERDE,06/08/2004,0.2,2004-08-06,2004,8,6,-37.08,-8.41
3360,ARCOVERDE,07/08/2004,3.4,2004-08-07,2004,8,7,-37.08,-8.41
3362,ARCOVERDE,08/08/2004,18.9,2004-08-08,2004,8,8,-37.08,-8.41
3364,ARCOVERDE,09/08/2004,0.0,2004-08-09,2004,8,9,-37.08,-8.41
3366,ARCOVERDE,10/08/2004,0.0,2004-08-10,2004,8,10,-37.08,-8.41
3368,ARCOVERDE,11/08/2004,5.1,2004-08-11,2004,8,11,-37.08,-8.41
3370,ARCOVERDE,12/08/2004,4.2,2004-08-12,2004,8,12,-37.08,-8.41
3372,ARCOVERDE,13/08/2004,0.0,2004-08-13,2004,8,13,-37.08,-8.41
3374,ARCOVERDE,14/08/2004,0.0,2004-08-14,2004,8,14,-37.08,-8.41
3376,ARCOVERDE,15/08/2004,0.0,2004-08-15,2004,8,15,-37.08,-8.41
3378,ARCOVERDE,16/08/2004,1.4,2004-08-16,2004,8,16,-37.08,-8.41
3380,ARCOVERDE,17/08/2004,6.1,2004-08-17,2004,8,17,-37.08,-8.41
3382,ARCOVERDE,18/08/2004,7.4,2004-08-18,2004,8,18,-37.08,-8.41
3384,ARCOVERDE,19/08/2004,1.7,2004-08-19,2004,8,19,-37.08,-8.41
3386,ARCOVERDE,20/08/2004,0.4,2004-08-20,2004,8,20,-37.08,-8.41
3388,ARCOVERDE,21/08/2004,0.1,2004-08-21,2004,8,21,-37.08,-8.41
3390,ARCOVERDE,22/08/2004,1.2,2004-08-22,2004,8,22,-37.08,-8.41
3392,ARCOVERDE,23/08/2004,0.0,2004-08-23,2004,8,23,-37.08,-8.41
3394,ARCOVERDE,24/08/2004,0.0,2004-08-24,2004,8,24,-37.08,-8.41
3396,ARCOVERDE,25/08/2004,0.0,2004-08-25,2004,8,25,-37.08,-8.41
3398,ARCOVERDE,26/08/2004,0.0,2004-08-26,2004,8,26,-37.08,-8.41
3400,ARCOVERDE,27/08/2004,0.0,2004-08-27,2004,8,27,-37.08,-8.41
3402,ARCOVERDE,28/08/2004,0.0,2004-08-28,2004,8,28,-37.08,-8.41
3404,ARCOVERDE,29/08/2004,0.0,2004-08-29,2004,8,29,-37.08,-8.41
3406,ARCOVERDE,30/08/2004,0.0,2004-08-30,2004,8,30,-37.08,-8.41
3408,ARCOVERDE,31/08/2004,0.0,2004-08-31,2004,8,31,-37.08,-8.41
3410,ARCOVERDE,01/09/2004,0.0,2004-09-01,2004,9,1,-37.08,-8.41
3412,ARCOVERDE,02/09/2004,7.3,2004-09-02,2004,9,2,-37.08,-8.41
3414,ARCOVERDE,03/09/2004,3.3,2004-09-03,2004,9,3,-37.08,-8.41
3416,ARCOVERDE,04/09/2004,0.9,2004-09-04,2004,9,4,-37.08,-8.41
3418,ARCOVERDE,05/09/2004,0.0,2004-09-05,2004,9,5,-37.08,-8.41
3420,ARCOVERDE,06/09/2004,0.0,2004-09-06,2004,9,6,-37.08,-8.41
3422,ARCOVERDE,07/09/2004,0.0,2004-09-07,2004,9,7,-37.08,-8.41
3424,ARCOVERDE,08/09/2004,0.0,2004-09-08,2004,9,8,-37.08,-8.41
3426,ARCOVERDE,09/09/2004,0.0,2004-09-09,2004,9,9,-37.08,-8.41
3428,ARCOVERDE,10/09/2004,2.7,2004-09-10,2004,9,10,-37.08,-8.41
3430,ARCOVERDE,11/09/2004,0.8,2004-09-11,2004,9,11,-37.08,-8.41
3432,ARCOVERDE,12/09/2004,0.0,2004-09-12,2004,9,12,-37.08,-8.41
3434,ARCOVERDE,13/09/2004,0.0,2004-09-13,2004,9,13,-37.08,-8.41
3436,ARCOVERDE,14/09/2004,0.0,2004-09-14,2004,9,14,-37.08,-8.41
3438,ARCOVERDE,15/09/2004,0.0,2004-09-15,2004,9,15,-37.08,-8.41
3440,ARCOVERDE,16/09/2004,0.0,2004-09-16,2004,9,16,-37.08,-8.41
3442,ARCOVERDE,17/09/2004,0.0,2004-09-17,2004,9,17,-37.08,-8.41
3444,ARCOVERDE,18/09/2004,0.0,2004-09-18,2004,9,18,-37.08,-8.41
3446,ARCOVERDE,19/09/2004,3.3,2004-09-19,2004,9,19,-37.08,-8.41
3448,ARCOVERDE,20/09/2004,0.0,2004-09-20,2004,9,20,-37.08,-8.41
3450,ARCOVERDE,21/09/2004,0.0,2004-09-21,2004,9,21,-37.08,-8.41
